title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,directorid,actorid,budget,num_directors,num_actors,actor_rev5,actor_rev10,director_films5,actor_films5,actor_films10,director_rev10,director_films10,director_rev5
Mr. Brooks,2007,R,2007-06-01,120,Crime,Bruce A. Evans,"Bruce A. Evans, Raynold Gideon","Kevin Costner, Demi Moore, William Hurt",A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTQyNTk5MTMxN15BMl5BanBnXkFtZTcwNTc0ODI1NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",45.0,7.3,"154,309",tt0780571,movie,15 Apr 2014,28549298,,,True,['nm0262595'],"['nm0000126', 'nm0000193', 'nm0000458']",20000000.0,1,3,257545300,287868700,0,5,6,0,0,0
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,2007-12-21,116,Drama,Tim Burton,"John Logan, Hugh Wheeler, Christopher Bond","Johnny Depp, Helena Bonham Carter, Alan Rickman","The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lov...","English, Italian","United States, United Kingdom",Won 1 Oscar. 34 wins & 77 nominations total,https://m.media-amazon.com/images/M/MV5BMTg3NjUxMzM5NV5BMl5BanBnXkFtZTcwMzQ1NjQzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",83.0,7.3,"379,483",tt0408236,movie,01 Aug 2013,52898073,,,True,['nm0000318'],"['nm0000136', 'nm0000307', 'nm0000614']",50000000.0,1,3,1614834297,1614834297,3,12,12,326670296,3,326670296
Aliens vs. Predator: Requiem,2007,R,2007-12-25,94,Action,"Colin Strause, Greg Strause","Shane Salerno, Dan O'Bannon, Ronald Shusett","Reiko Aylesworth, Steven Pasquale, Shareeka Epps","Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.6/10'}",29.0,4.6,"130,176",tt0758730,movie,18 Sep 2012,41797066,,,True,"['nm0833779', 'nm0833780']","['nm0043855', 'nm1018679', 'nm1560274']",40000000.0,2,3,0,0,0,0,0,0,0,0
Juno,2007,PG-13,2007-12-25,96,Comedy,Jason Reitman,Diablo Cody,"Elliot Page, Michael Cera, Jennifer Garner","Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.","English, Spanish",United States,Won 1 Oscar. 90 wins & 101 nominations total,https://m.media-amazon.com/images/M/MV5BMTIwMDgwODc5Nl5BMl5BanBnXkFtZTYwMjQzMDM4._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",81.0,7.5,"539,413",tt0467406,movie,01 Jul 2016,143495265,,,True,['nm0718646'],"['nm0680983', 'nm0148418', 'nm0004950']",7500000.0,1,3,368724042,368724042,1,6,6,24793509,1,24793509
Hannibal Rising,2007,R,2007-02-09,121,Adventure,Peter Webber,Thomas Harris,"Gaspard Ulliel, Rhys Ifans, Gong Li","After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.","English, German, Russian","Czech Republic, United Kingdom, France, Italy, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BMTIzMTA0NTM4NF5BMl5BanBnXkFtZTcwNjY3ODM0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",35.0,6.1,"113,725",tt0367959,movie,02 Mar 2017,27670986,,,True,['nm0916424'],"['nm0880484', 'nm0406975', 'nm0000084']",50000000.0,1,3,69974859,69974859,1,2,2,11670971,1,11670971
The Nanny Diaries,2007,PG-13,2007-08-24,105,Comedy,"Shari Springer Berman, Robert Pulcini","Emma McLaughlin, Nicola Kraus, Shari Springer Berman","Scarlett Johansson, Laura Linney, Paul Giamatti","A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge.","English, French, Spanish",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjM3NjRjY2EtMDg5My00YmMzLWEzNDEtYjg2NjYxY2Q1MzM5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",46.0,6.2,"62,603",tt0489237,movie,28 Sep 2007,25930652,,,True,"['nm0075849', 'nm0700301']","['nm0424060', 'nm0001473', 'nm0316079']",20000000.0,2,3,595379300,679486217,2,19,21,12021980,2,12021980
Mr. Woodcock,2007,PG-13,2007-09-14,87,Comedy,Craig Gillespie,"Michael Carnes, Josh Gilbert","Billy Bob Thornton, Seann William Scott, Susan Sarandon","Taken aback by his mother's wedding announcement, a young man returns home in an effort to stop her from marrying his old high school gym teacher, a man who made middle school hell for generations of students.",English,United States,,https://m.media-amazon.com/images/M/MV5BMTc2NTcwNDM5MV5BMl5BanBnXkFtZTcwODMzMzM1MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",41.0,5.2,"36,684",tt0419984,movie,01 Apr 2010,25799486,,,True,['nm0318916'],"['nm0000671', 'nm0005405', 'nm0000215']",22000000.0,1,3,645737007,677010929,0,18,19,0,0,0
Nancy Drew,2007,PG,2007-06-15,99,Comedy,Andrew Fleming,"Andrew Fleming, Tiffany Paulsen, Mildred Wirt Benson","Emma Roberts, Tate Donovan, Max Thieriot","Teen detective Nancy Drew accompanies her father on a business trip to Los Angeles, where she happens upon clues to a murder mystery involving a movie star.",English,United States,7 nominations,https://m.media-amazon.com/images/M/MV5BODllYWFkZjEtZTExOS00YjhjLWIwZWEtMjNkMzBmZjE4NWJmXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",53.0,5.9,"21,155",tt0479500,movie,18 Mar 2013,25661055,,,True,['nm0281598'],"['nm0731075', 'nm0004883', 'nm1302735']",20000000.0,1,3,131684210,131684210,1,2,2,20453431,1,20453431
The Mist,2007,R,2007-11-21,126,Horror,Frank Darabont,"Frank Darabont, Stephen King","Thomas Jane, Marcia Gay Harden, Laurie Holden","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",English,United States,6 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",58.0,7.1,"327,189",tt0884328,movie,10 Aug 2016,25594957,,,True,['nm0001104'],"['nm0005048', 'nm0001315', 'nm0390229']",18000000.0,1,3,167955515,192673679,0,5,6,0,0,0
P.S. I Love You,2007,PG-13,2007-12-21,126,Comedy,Richard LaGravenese,"Richard LaGravenese, Steven Rogers, Cecelia Ahern","Hilary Swank, Gerard Butler, Harry Connick Jr.",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNTg2MDg4MjI5NV5BMl5BanBnXkFtZTcwMzQ0MDczMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",39.0,7.0,"215,435",tt0431308,movie,05 Feb 2008,53706790,,,True,['nm0481418'],"['nm0005476', 'nm0124930', 'nm0001065']",30000000.0,1,3,547501896,614857409,1,9,10,36605602,1,36605602
The Reaping,2007,R,2007-04-05,99,Horror,Stephen Hopkins,"Carey W. Hayes, Chad Hayes, Brian Rousso","Hilary Swank, David Morrissey, AnnaSophia Robb","A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues.","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTAxMDk0MDg2ODVeQTJeQWpwZ15BbWU3MDgxNDQ1MzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",36.0,5.6,"44,122",tt0444682,movie,25 Jun 2009,25126214,,,True,['nm0394280'],"['nm0005476', 'nm0607375', 'nm1455681']",40000000.0,1,3,356531034,356531034,0,7,7,0,0,0
Grindhouse,2007,R,2007-04-06,191,Action,"Robert Rodriguez, Eli Roth, Quentin Tarantino","Robert Rodriguez, Rob Zombie, Edgar Wright","Kurt Russell, Rose McGowan, Danny Trejo",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.,"English, Spanish","United States, Canada",10 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BMjA0MzExNzc3MV5BMl5BanBnXkFtZTcwODAxMzM0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",77.0,7.5,"188,521",tt0462322,movie,02 May 2021,25037897,,,True,"['nm0001675', 'nm0744834', 'nm0000233']","['nm0000621', 'nm0000535', 'nm0001803']",67000000.0,3,3,231001119,231001119,10,5,5,646145404,10,646145404
Sicko,2007,PG-13,2007-07-03,123,Documentary,Michael Moore,Michael Moore,"Michael Moore, Tucker Albrizzi, Tony Benn","A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.","English, French, Spanish, Russian",United States,Nominated for 1 Oscar. 14 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BYmY4MzY5NDQtZjI5Ni00NjQ2LTg0YjUtNGJhNmFkN2Y3ODEyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.0/10'}",74.0,8.0,"76,310",tt0386032,movie,10 Aug 2016,24540079,,,True,['nm0601619'],"['nm0601619', 'nm3235380', 'nm1125277']",9000000.0,1,3,140770789,140770789,2,2,2,140770789,2,140770789
Across the Universe,2007,PG-13,2007-10-12,133,Drama,Julie Taymor,"Dick Clement, Ian La Frenais, Julie Taymor","Evan Rachel Wood, Jim Sturgess, Joe Anderson",The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.,English,"United States, United Kingdom",Nominated for 1 Oscar. 2 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMDViYjYzMTctNDFlNS00NmFmLWJlMGUtZDFmZmFjY2Q2ODhjXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",56.0,7.3,"112,947",tt0445922,movie,01 Jan 2013,24602291,,,True,['nm0853380'],"['nm0939697', 'nm0836343', 'nm1725848']",45000000.0,1,3,31612223,31612223,1,2,2,25885000,1,25885000
Perfect Stranger,2007,R,2007-04-13,109,Crime,James Foley,"Todd Komarnicki, Jon Bokenkamp","Halle Berry, Bruce Willis, Giovanni Ribisi","A journalist goes undercover to ferret out businessman Harrison Hill as her childhood friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTY4ODUwMTk3OV5BMl5BanBnXkFtZTcwNTI1MTEzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",31.0,5.7,"49,927",tt0457433,movie,25 Apr 2011,23984949,,,True,['nm0001226'],"['nm0000932', 'nm0000246', 'nm0000610']",60795000.0,1,3,1264667486,1315019049,1,14,16,12251640,1,12251640
Hot Fuzz,2007,R,2007-04-20,121,Action,Edgar Wright,"Edgar Wright, Simon Pegg","Simon Pegg, Nick Frost, Martin Freeman","A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes ...",English,"United Kingdom, France, United States",2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMzg4MDJhMDMtYmJiMS00ZDZmLThmZWUtYTMwZDM1YTc5MWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",81.0,7.8,"523,287",tt0425112,movie,12 Feb 2014,23637265,,,True,['nm0942367'],"['nm0670408', 'nm0296545', 'nm0293509']",8000000.0,1,3,78171164,78171164,1,3,3,13542874,1,13542874
War,2007,R,2007-08-24,103,Action,Philip G. Atwell,"Lee Anthony Smith, Gregory J. Bradley","Jet Li, Jason Statham, Nadine Velazquez","An FBI Agent seeks vengeance on a mysterious assassin known as ""Rogue"" who murdered his partner.","English, Mandarin, Japanese, Cantonese","Canada, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BNTIwMjE2Mjc1MF5BMl5BanBnXkFtZTYwNzI0OTI3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",36.0,6.2,"94,767",tt0499556,movie,05 Jun 2007,22486409,New Glory Productions,,True,['nm0041161'],"['nm0001472', 'nm0005458', 'nm1229204']",25000000.0,1,3,265828048,265828048,0,8,8,0,0,0
The Last Mimzy,2007,PG,2007-03-23,90,Action,Robert Shaye,"Bruce Joel Rubin, Toby Emmerich, James V. Hart","Joely Richardson, Rainn Wilson, Timothy Hutton","Two siblings begin to develop special talents after they find a mysterious box of toys. Soon the kids, their parents, and even their teacher are drawn into a strange new world and find a task ahead of them that is far more importa...","English, Spanish",United States,7 nominations,https://m.media-amazon.com/images/M/MV5BMTIwMTkzMDI1N15BMl5BanBnXkFtZTcwMzc1NzI0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",59.0,6.2,"22,016",tt0768212,movie,29 Sep 2009,21471047,,,True,['nm0790144'],"['nm0000613', 'nm0933988', 'nm0000459']",,1,3,38399961,38399961,0,1,1,0,0,0
Amazing Grace,2006,PG,2007-02-23,118,Biography,Michael Apted,Steven Knight,"Ioan Gruffudd, Albert Finney, Michael Gambon","The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",English,"United States, United Kingdom",3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTI5MTkxMDA4M15BMl5BanBnXkFtZTcwNjA4Mjg0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",65.0,7.4,"25,363",tt0454776,movie,25 Nov 2015,21250683,,,True,['nm0000776'],"['nm0344435', 'nm0001215', 'nm0002091']",,1,3,236704122,278012737,2,4,5,44309324,2,44309324
The Hills Have Eyes 2,2007,R,2007-03-23,89,Horror,Martin Weisz,"Wes Craven, Jonathan Craven","Daniella Alonso, Jacob Vargas, Michael Bailey Smith",A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,English,"United States, Morocco",,https://m.media-amazon.com/images/M/MV5BMTczNTA2MzAzMF5BMl5BanBnXkFtZTYwNTkzMzc2._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",32.0,5.1,"66,461",tt0800069,movie,18 Sep 2012,20804166,,,True,['nm1170286'],"['nm0022161', 'nm0889846', 'nm0809344']",15000000.0,1,3,0,0,0,0,0,0,0,0
The Invisible,2007,PG-13,2007-04-27,102,Crime,David S. Goyer,"Mick Davis, Christine Roum, Mats Wahl","Justin Chatwin, Margarita Levieva, Marcia Gay Harden",A teenager is left invisible to the living after an attack.,English,"Sweden, South Africa, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BNjQ3MjAwNTc1NV5BMl5BanBnXkFtZTcwMzQ3MjczMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",36.0,6.1,"36,187",tt0435670,movie,10 Aug 2016,20578909,,,True,['nm0275286'],"['nm0154226', 'nm1760272', 'nm0001315']",30000000.0,1,3,32868349,32868349,1,1,1,52411906,1,52411906
Reno 911!: Miami,2007,R,2007-02-23,84,Comedy,Robert Ben Garant,"Robert Ben Garant, Thomas Lennon, Kerri Kenney","Thomas Lennon, Robert Ben Garant, Kerri Kenney",A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNjkwOTk3MTAyNV5BMl5BanBnXkFtZTcwNjY5NzkyMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",47.0,5.9,"27,697",tt0499554,movie,18 Sep 2012,20342161,,,True,['nm0304830'],"['nm0502073', 'nm0304830', 'nm0448486']",10000000.0,1,3,0,0,0,0,0,0,0,0
Gone Baby Gone,2007,R,2007-10-19,114,Crime,Ben Affleck,"Ben Affleck, Aaron Stockard, Dennis Lehane","Morgan Freeman, Ed Harris, Casey Affleck","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",English,United States,Nominated for 1 Oscar. 33 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BYmM2NDNiNGItMTRhMi00ZDA2LTgzOWMtZTE2ZjFhMDQ2M2U5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",72.0,7.6,"282,342",tt0452623,movie,21 Apr 2016,20292962,,,True,['nm0000255'],"['nm0000151', 'nm0000438', 'nm0000729']",19000000.0,1,3,706265655,1037458949,0,12,15,0,0,0
Reign Over Me,2007,R,2007-03-23,124,Drama,Mike Binder,Mike Binder,"Adam Sandler, Don Cheadle, Jada Pinkett Smith",A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOTYyMTExNTgwNF5BMl5BanBnXkFtZTcwMDY4MTEzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",61.0,7.4,"98,621",tt0490204,movie,16 Apr 2012,19661987,,,True,['nm0082802'],"['nm0001191', 'nm0000332', 'nm0000586']",20000000.0,1,3,941597020,941597020,1,11,11,18761993,1,18761993
Vacancy,2007,R,2007-04-20,85,Horror,Nimród Antal,Mark L. Smith,"Kate Beckinsale, Luke Wilson, Frank Whaley","A married couple becomes stranded at an isolated motel and finds hidden video cameras in their room. They soon realize that unless they escape, they'll be the next victims of a snuff film.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTQ3MDk2MDI5N15BMl5BanBnXkFtZTcwMDgyNzUzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",54.0,6.2,"104,743",tt0452702,movie,25 Feb 2014,19363565,,,True,['nm0030735'],"['nm0000295', 'nm0005561', 'nm0001844']",19000000.0,1,3,594884335,594884335,0,9,9,0,0,0
Georgia Rule,2007,R,2007-05-11,113,Comedy,Garry Marshall,Mark Andrus,"Jane Fonda, Lindsay Lohan, Felicity Huffman","A troubled young woman is sent to live with her grandmother for the summer, while hiding a secret that could potentially tear her family apart.",English,United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTM2MDc3MTI0Nl5BMl5BanBnXkFtZTcwMzQ4ODU0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",25.0,5.9,"25,946",tt0791304,movie,19 Apr 2016,19103072,,,True,['nm0005190'],"['nm0000404', 'nm0517820', 'nm0005031']",20000000.0,1,3,400916525,400916525,2,7,7,132656993,2,132656993
Waitress,2007,PG-13,2007-05-25,108,Comedy,Adrienne Shelly,Adrienne Shelly,"Keri Russell, Nathan Fillion, Jeremy Sisto","Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",English,United States,6 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BNzVmZjdiOGMtNTQ0Yi00ZDE3LThkZjYtYTc4YTMyNzgzMjg3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",75.0,7.0,"47,999",tt0473308,movie,12 Jul 2014,19074800,,,True,['nm0791248'],"['nm0005392', 'nm0277213', 'nm0005438']",1500000.0,1,3,48735757,48735757,0,3,3,0,0,0
The Water Horse,2007,PG,2007-12-25,112,Adventure,Jay Russell,"Robert Nelson Jacobs, Dick King-Smith","Emily Watson, David Morrissey, Alex Etel",A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,English,"New Zealand, United Kingdom, United States",6 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MjcxMjg5OV5BMl5BanBnXkFtZTcwNDE1NzYzMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",71.0,6.4,"42,354",tt0760329,movie,,40946255,,,True,['nm0751221'],"['nm0001833', 'nm0607375', 'nm1375020']",40000000.0,1,3,91083236,108927452,1,4,5,93703706,2,74541707
Becoming Jane,2007,PG,2007-08-10,120,Biography,Julian Jarrold,"Jane Austen, Kevin Hood, Sarah Williams","Anne Hathaway, James McAvoy, Julie Walters",A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,English,"United Kingdom, Ireland",3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTIzMjQyMDMxM15BMl5BanBnXkFtZTcwMjAwOTM1MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",55.0,7.0,"63,973",tt0416508,movie,26 Aug 2016,18670946,,,True,['nm0418982'],"['nm0004266', 'nm0564215', 'nm0910278']",16500000.0,1,3,342864382,347584753,0,6,7,0,0,0
Next,2007,PG-13,2007-04-27,96,Action,Lee Tamahori,"Gary Goldman, Jonathan Hensleigh, Paul Bernbaum","Nicolas Cage, Julianne Moore, Jessica Biel",A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,"English, French, German, Serbian",United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTg3MjgyNjE1Nl5BMl5BanBnXkFtZTcwNTY1NDU0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",42.0,6.2,"163,271",tt0435705,movie,14 Oct 2014,18211013,,,True,['nm0848414'],"['nm0000115', 'nm0000194', 'nm0004754']",70000000.0,1,3,891038419,902472635,2,19,20,187816071,2,187816071
Hostel: Part II,2007,R,2007-06-08,94,Horror,Eli Roth,Eli Roth,"Lauren German, Heather Matarazzo, Bijou Phillips",Three American college students studying abroad are lured to a Slovakian hostel and discover the grim reality behind it.,"English, Slovak, Italian, Czech","United States, Czech Republic",10 nominations,https://m.media-amazon.com/images/M/MV5BMjA1NTQ3MjI2N15BMl5BanBnXkFtZTYwNTQ4MTI3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",46.0,5.5,"93,713",tt0498353,movie,16 Apr 2012,17609452,,,True,['nm0744834'],"['nm0314514', 'nm0000525', 'nm0005313']",10200000.0,1,3,0,0,3,0,0,93522558,3,93522558
Eastern Promises,2007,R,2007-09-21,100,Crime,David Cronenberg,Steven Knight,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl",A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,"English, Russian, Turkish, Urdu","United Kingdom, Canada, United States",Nominated for 1 Oscar. 28 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwMzU0OTY3NF5BMl5BanBnXkFtZTYwNzkwNjg2._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",83.0,7.6,"253,472",tt0765443,movie,19 Apr 2016,17266000,,,True,['nm0000343'],"['nm0915208', 'nm0001557', 'nm0000090']",25000000.0,1,3,1294471628,1294471628,1,12,12,31504633,1,31504633
Into the Wild,2007,R,2007-10-19,148,Adventure,Sean Penn,"Sean Penn, Jon Krakauer","Emile Hirsch, Vince Vaughn, Catherine Keener","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way...","English, Danish",United States,Nominated for 2 Oscars. 23 wins & 106 nominations total,https://m.media-amazon.com/images/M/MV5BNjQ0ODlhMWUtNmUwMS00YjExLWI4MjQtNjVmMmE2Y2E0MGRmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",73.0,8.1,"641,434",tt0758758,movie,01 Aug 2013,18354356,,,True,['nm0000576'],"['nm0386472', 'nm0000681', 'nm0001416']",15000000.0,1,3,797456194,819732484,0,12,15,0,0,0
Notes on a Scandal,2006,R,2007-01-26,92,Crime,Richard Eyre,"Patrick Marber, Zoë Heller","Cate Blanchett, Judi Dench, Andrew Simpson","A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her fifteen-year-old students. However, her intentions with this new ""friend"" also go well beyond a platonic friendship.","English, French",United Kingdom,Nominated for 4 Oscars. 16 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BYTgyOWQ4ZTUtMmQ0ZS00M2MxLThhMTctODBjMGVmNzMwYTFhXkEyXkFqcGdeQXVyMzQyMDgzOTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",73.0,7.4,"82,306",tt0465551,movie,25 Nov 2015,17510118,,,True,['nm0264236'],"['nm0000949', 'nm0001132', 'nm1587166']",15000000.0,1,3,489059388,500493604,1,11,12,5594617,1,5594617
Dead Silence,2007,R,2007-03-16,89,Horror,James Wan,"Leigh Whannell, James Wan","Ryan Kwanten, Amber Valletta, Donnie Wahlberg","After his wife meets a grisly end, Jamie Ashen returns to his hometown of Ravens Fair to find answers. His investigation leads him to the ghost of a ventriloquist named Mary Shaw who seems to have to ties to his entire family tree",English,United States,,https://m.media-amazon.com/images/M/MV5BMjEyNDQwMTQ3OV5BMl5BanBnXkFtZTcwMTY5MzI0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",34.0,6.1,"99,159",tt0455760,movie,19 Nov 2013,16809076,,,True,['nm1490123'],"['nm0477127', 'nm0005520', 'nm0005531']",20000000.0,1,3,130135821,130135821,1,2,2,56000369,1,56000369
The Hitcher,2007,R,2007-01-19,84,Crime,Dave Meyers,"Eric Red, Jake Wade Wall, Eric Bernt","Sean Bean, Sophia Bush, Zachary Knighton",A couple from college get caught in a dangerous game of cat and mouse with a psychopathic hitchhiker and the police after witnessing a murder and being framed.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTIwOTA3NzI4NF5BMl5BanBnXkFtZTcwNjY2ODA0MQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",28.0,5.6,"44,539",tt0455960,movie,18 Mar 2014,16472961,,,True,['nm0583515'],"['nm0000293', 'nm0124208', 'nm0461149']",10000000.0,1,3,139792481,139792481,0,3,3,0,0,0
